CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0081,M,20,II,CIV:B;HIST:D;GEO:C;E-D-KIISLAMU:X;KISW:C;ENGL:B;PHY:X;CHEM:X;BIO:C;B-MATH:C,s0101
S0101/0082,M,26,IV,CIV:C;HIST:D;GEO:F;F.ART:D;KISW:D;ENGL:B;BIO:D;B-MATH:F,s0101
S0101/0083,M,28,IV,CIV:D;HIST:C;GEO:F;KISW:D;ENGL:C;BIO:D;B-MATH:F,s0101
S0101/0084,M,16,I,CIV:C;HIST:D;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:A;BIO:C;B-MATH:B,s0101
S0101/0085,M,10,I,CIV:B;HIST:C;GEO:C;KISW:B;ENGL:B;PHY:A;CHEM:A;BIO:A;B-MATH:A,s0101
S0101/0086,M,29,IV,CIV:D;HIST:D;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:C,s0101
S0101/0088,M,25,III,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:C;BIO:D;B-MATH:C,s0101
S0101/0089,M,*E,*E,,s0101
S0101/0090,M,25,III,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:F;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0091,M,28,IV,CIV:C;HIST:D;GEO:F;KISW:C;ENGL:D;BIO:D;B-MATH:F,s0101
S0101/0092,M,29,IV,CIV:F;HIST:D;GEO:F;KISW:F;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0093,M,28,IV,CIV:C;HIST:D;GEO:F;KISW:D;ENGL:B;BIO:F;B-MATH:F,s0101
S0101/0094,M,21,II,CIV:C;HIST:C;GEO:D;KISW:D;ENGL:B;PHY:C;CHEM:C;BIO:D;B-MATH:C,s0101
S0101/0095,M,18,II,CIV:B;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:D;B-MATH:B,s0101
S0101/0096,M,16,I,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0097,M,24,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:D;BIO:C;B-MATH:D,s0101
S0101/0099,M,13,I,CIV:C;HIST:C;GEO:B;F.ART:C;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:A,s0101
S0101/0100,M,22,III,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0101,M,23,III,CIV:D;HIST:C;GEO:D;KISW:B;ENGL:D;BIO:D;B-MATH:B,s0101
S0101/0102,M,22,III,CIV:C;HIST:D;GEO:D;F.ART:B;KISW:D;ENGL:B;BIO:C;B-MATH:D,s0101
S0101/0103,M,27,IV,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:D;FREN:F;BIO:D;B-MATH:D,s0101
S0101/0104,M,25,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0105,M,21,II,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0106,M,32,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0107,M,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:D;BIO:D;B-MATH:C,s0101
S0101/0108,M,14,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:B,s0101
S0101/0109,M,*E,*E,,s0101
S0101/0110,M,12,I,CIV:B;HIST:C;GEO:B;KISW:B;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:B,s0101
S0101/0111,M,21,III,CIV:F;HIST:X;GEO:F;KISW:B;ENGL:C;PHY:B;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0112,M,11,I,CIV:B;HIST:B;GEO:C;KISW:B;ENGL:B;PHY:A;CHEM:B;BIO:A;B-MATH:A;ADD;MATH:B,s0101
S0101/0113,M,19,II,CIV:C;HIST:B;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0114,M,23,III,CIV:C;HIST:C;GEO:D;F.ART:C;KISW:D;ENGL:C;BIO:D;B-MATH:C,s0101
S0101/0115,M,18,II,CIV:C;HIST:D;GEO:D;KISW:B;ENGL:B;PHY:B;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0116,M,16,I,CIV:D;HIST:C;GEO:B;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0117,M,16,I,CIV:C;HIST:C;GEO:B;KISW:B;ENGL:B;PHY:B;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0118,M,22,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:F;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0119,M,*E,*E,,s0101
S0101/0120,M,19,II,CIV:C;HIST:D;GEO:D;B-KNOWL:B;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0121,M,24,III,CIV:D;HIST:D;GEO:C;F.ART:C;KISW:C;ENGL:C;PHY:F;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0122,M,27,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:F;PHY:D;CHEM:D;BIO:D;B-MATH:C,s0101
S0101/0123,M,20,II,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:B;CHEM:B;BIO:D;B-MATH:B,s0101
S0101/0124,M,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:B,s0101
S0101/0125,M,-,ABS,CIV:X;HIST:X;GEO:X;KISW:X;ENGL:X;BIO:X;B-MATH:X,s0101
S0101/0126,M,*E,*E,,s0101
S0101/0128,M,15,I,CIV:B;HIST:D;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0129,M,16,I,CIV:C;HIST:B;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0130,M,23,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0131,M,14,I,CIV:B;HIST:B;GEO:D;KISW:B;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0132,M,19,III,CIV:C;HIST:C;GEO:C;B-KNOWL:X;KISW:F;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0133,M,18,II,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:B;PHY:D;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0134,M,*E,*E,,s0101
S0101/0135,M,24,III,CIV:C;HIST:D;GEO:F;KISW:C;ENGL:D;PHY:D;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0136,M,18,II,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:B;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0137,M,21,II,CIV:C;HIST:D;GEO:C;F.ART:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
